"Position,"Schwarz-/Mischbrot, 1kg","Semmel, maschingeformt, 1 Stk","Vollmilch, 1l","Schweinefleisch, Schnitzel, 1kg","Rindfleisch, Gulasch, 1kg","Brathuhn, frisch, 1kg",Kleiner Brauner (Restaurant),"Flaschenbier, 1/2 Liter",Herrenanzug,"Gas-/Wasserinstallateur, 1 Stunde","Kinokarte, 1 Stück",Fahrrad,"Gas, 100 kWh (ab 1977)","Strom, 100 kWh (ab 1977)"
2008,689.0,696.4,446.7,240.1,465.6,194.9,743.9,478.5,349.9,2059.0,675.9,286.3,369.6,413.7
2009,693.2,712.6,411.9,239.0,482.9,192.9,762.7,502.5,345.1,2129.7,675.9,298.1,423.2,419.8
2010,705.8,727.0,411.5,236.5,486.4,194.6,773.7,497.8,353.1,2165.6,689.0,307.6,402.7,424.5
2011,724.2,767.7,439.5,249.3,509.3,206.7,800.8,505.8,348.9,2241.4,700.0,316.5,439.3,425.3
2012,743.9,788.1,454.7,258.5,540.4,218.0,827.1,516.7,354.9,2343.2,714.5,325.7,461.5,430.4
2013,772.1,805.5,473.2,272.4,566.2,231.2,851.8,523.2,354.2,2412.5,725.5,329.1,459.5,450.0
2014,784.1,823.7,502.9,273.6,572.5,235.1,869.6,538.6,347.8,2470.9,739.3,334.4,457.9,450.8
2015,793.3,849.9,486.4,275.8,582.7,238.2,895.9,553.1,347.8,2559.7,751.0,327.9,455.9,429.2
2016,813.1,849.9,477.6,283.8,567.0,241.5,924.6,558.1,350.2,2631.4,778.0,346.6,443.1,431.4
2017,822.7,880.5,503.9,285.7,571.6,247.0,941.6,578.0,355.1,2700.5,793.8,338.4,435.4,400.0
2018,844.9,895.8,515.6,295.1,576.3,250.3,972.9,581.9,363.5,2764.5,799.1,358.7,410.3,407.7
2019,867.1,909.4,520.0,306.1,585.6,251.1,998.0,587.4,355.1,2854.1,806.6,340.0,413.0,419.3
2020,884.5,921.3,538.4,327.4,598.4,248.7,1015.1,598.5,345.4,2959.0,805.8,342.3,404.8,444.7
